Time,Id
2.7933E+0,-518.3128E-9
2.8112E+0,-517.8312E-9
2.8291E+0,-517.8940E-9
2.8470E+0,-517.5170E-9
2.8649E+0,-517.3285E-9
2.8828E+0,-517.0982E-9
2.9007E+0,-516.9725E-9
2.9186E+0,-516.4280E-9
2.9365E+0,-516.1977E-9
2.9544E+0,-515.9882E-9
2.9723E+0,-515.7160E-9
2.9902E+0,-515.6532E-9
3.0081E+0,-515.4857E-9
3.0260E+0,-515.1925E-9
3.0440E+0,-515.0040E-9
3.0619E+0,-514.8156E-9
3.0798E+0,-514.6270E-9
3.0977E+0,-514.3548E-9
3.1156E+0,-514.2082E-9
3.1335E+0,-513.8941E-9
3.1514E+0,-513.6847E-9
3.1693E+0,-513.3077E-9
3.1872E+0,-513.3077E-9
3.2051E+0,-513.2239E-9
3.2230E+0,-513.0564E-9
3.2409E+0,-512.8470E-9
3.2588E+0,-512.6375E-9
3.2766E+0,-512.5119E-9
3.2946E+0,-512.1349E-9
3.3125E+0,-511.9255E-9
3.3303E+0,-511.7579E-9
3.3483E+0,-511.5904E-9
3.3662E+0,-511.4020E-9
3.3841E+0,-511.3182E-9
3.4020E+0,-511.1506E-9
3.4199E+0,-510.8365E-9
3.4378E+0,-510.4386E-9
3.4557E+0,-510.4386E-9
3.4736E+0,-510.2920E-9
3.4915E+0,-510.1036E-9
3.5094E+0,-509.8942E-9
3.5273E+0,-509.5591E-9
3.5452E+0,-509.4753E-9
3.5632E+0,-509.1402E-9
3.5811E+0,-508.9727E-9
3.5990E+0,-508.8052E-9
3.6169E+0,-508.5748E-9
3.6348E+0,-508.3863E-9
3.6527E+0,-508.2188E-9
3.6706E+0,-508.0931E-9
3.6885E+0,-507.9465E-9
3.7064E+0,-507.7999E-9
3.7243E+0,-507.5905E-9
3.7422E+0,-507.4858E-9
3.7601E+0,-507.1298E-9
3.7780E+0,-507.1508E-9
3.7959E+0,-507.0041E-9
3.8138E+0,-506.6481E-9
3.8317E+0,-506.6481E-9
3.8496E+0,-506.5853E-9
3.8675E+0,-506.2083E-9
3.8854E+0,-506.0408E-9
3.9033E+0,-505.9152E-9
3.9212E+0,-505.7895E-9
3.9391E+0,-505.6639E-9
3.9570E+0,-505.4335E-9
3.9750E+0,-505.3079E-9
3.9929E+0,-505.0985E-9
4.0107E+0,-504.9728E-9
4.0287E+0,-504.9100E-9
4.0466E+0,-504.6796E-9
4.0645E+0,-504.6587E-9
4.0824E+0,-504.3445E-9
4.1003E+0,-504.4283E-9
4.1182E+0,-504.0932E-9
4.1361E+0,-504.0304E-9
4.1540E+0,-503.7791E-9
4.1719E+0,-503.7791E-9
4.1898E+0,-503.4649E-9
4.2077E+0,-503.4021E-9
4.2256E+0,-503.2346E-9
4.2436E+0,-503.1299E-9
4.2614E+0,-503.0042E-9
4.2794E+0,-502.9205E-9
4.2973E+0,-502.6482E-9
4.3151E+0,-502.4597E-9
4.3331E+0,-502.4807E-9
4.3510E+0,-502.0199E-9
4.3688E+0,-502.0828E-9
4.3867E+0,-501.8315E-9
4.4046E+0,-501.7896E-9
4.4225E+0,-501.6430E-9
4.4404E+0,-501.4336E-9
4.4583E+0,-501.3708E-9
4.4762E+0,-501.3917E-9
4.4941E+0,-501.1613E-9
4.5120E+0,-500.7635E-9
4.5299E+0,-500.7006E-9
4.5479E+0,-514.2082E-9
4.5658E+0,-531.9461E-9
4.5837E+0,-545.5374E-9
4.6016E+0,-554.8985E-9
4.6195E+0,-563.3172E-9
4.6374E+0,-570.2699E-9
4.6553E+0,-565.1391E-9
4.6732E+0,-562.1654E-9
4.6911E+0,-560.1549E-9
4.7090E+0,-558.7937E-9
4.7269E+0,-557.4535E-9
4.7448E+0,-563.5475E-9
4.7628E+0,-573.8301E-9
4.7807E+0,-582.3535E-9
4.7986E+0,-589.4947E-9
4.8165E+0,-596.6359E-9
4.8344E+0,-603.4840E-9
4.8523E+0,-600.1332E-9
4.8702E+0,-597.4945E-9
4.8881E+0,-595.7982E-9
4.9060E+0,-594.2067E-9
4.9239E+0,-593.2224E-9
4.9418E+0,-596.0077E-9
4.9597E+0,-604.7824E-9
4.9776E+0,-610.9602E-9
4.9955E+0,-617.2010E-9
5.0134E+0,-622.3108E-9
5.0313E+0,-627.3369E-9
5.0492E+0,-626.0175E-9
5.0671E+0,-623.9442E-9
5.0850E+0,-622.6250E-9
5.1029E+0,-621.3893E-9
5.1208E+0,-620.5307E-9
